Close,Volume,Intra-day variation,Day of Week,Change,RSI (14),20-VWAP,Month,Day,BUY/NO_BUY 5=>15,QuoteDate,5 Day Profit,10 Day Profit,15 Day Profit,30 Day Profit
45.970001,332200,0.380001,1,0.060001000000007,58.3816601957888,44.3842254435168,3,27,-1,'2006-03-27',-0.04003,-0.01479,-0.01936,-0.101805523128007
45.5,398300,1.040001,2,-0.470001000000003,54.8633106637865,44.427343257684,3,28,-1,'2006-03-28',-0.01978,-0.01495,-0.01978,-0.085274747252747
45.549999,20400,0.509998000000003,3,0.049999,55.172804023255,44.4227007283767,3,29,-1,'2006-03-29',0.02064,-0.03030,-0.02173,-0.114160287906922
44.810001,250900,1.060002,4,-0.739998,49.7370977101357,44.4190004062073,3,30,-1,'2006-03-30',0.02700,-0.02477,-0.01272,-0.109127491427639
44.75,9200,0.259998000000003,5,-0.060001,49.3128653512872,44.4382453543879,3,31,-1,'2006-03-31',0.02302,-0.02793,-0.02346,-0.115530681564246
44.130001,205200,0.469996999999999,1,-0.619999,45.0380252367147,44.472082712608,4,3,-1,'2006-04-03',0.02629,0.02153,-0.03422,-0.119873122142009
44.599998,425400,0.399996999999999,2,0.469996999999999,48.6706003468745,44.5802561660359,4,4,-1,'2006-04-04',0.00493,0.00000,-0.02646,-0.147309401224637
46.490002,504800,1.59,3,1.890004,60.0929248523079,44.815502778871,4,5,-1,'2006-04-05',-0.04990,-0.04151,-0.08389,-0.178533074702815
46.02,170200,0.470001000000003,4,-0.470001999999994,56.7131061155301,45.0614661541102,4,6,-1,'2006-04-06',-0.05041,-0.03868,-0.07910,-0.172316384180791
45.779999,335200,0.799999,5,-0.240001000000007,55.0116423448333,45.2753018638637,4,7,-1,'2006-04-07',-0.04980,-0.04543,-0.08519,-0.183486198852909
45.290001,211600,0.529998999999997,1,-0.489998,51.6074241047967,45.4359248164842,4,10,-1,'2006-04-10',-0.00464,-0.05895,-0.08479,-0.181938657939089
44.82,166700,0.950001,2,-0.470000999999996,48.506763443413,45.4545289467108,4,11,-1,'2006-04-11',-0.00491,-0.03124,-0.07407,-0.163543016510486
44.169998,353300,0.559997000000003,3,-0.650002000000001,44.5227176912072,45.4431410274371,4,12,-1,'2006-04-12',0.00883,-0.03577,-0.06769,-0.146479449693432
43.700001,147300,0.450001,4,-0.469996999999999,41.84635636971,45.4162927771912,4,13,-1,'2006-04-13',0.01236,-0.03021,-0.03089,-0.13089246840063
43.5,131400,0.810001,1,-0.200001,40.7244915877264,45.3209474627599,4,17,-1,'2006-04-17',0.00460,-0.03724,-0.04069,-0.15379308045977
45.080002,721700,2.16,2,1.580002,51.7333064346503,45.2944456906841,4,18,-1,'2006-04-18',-0.05457,-0.08052,-0.08407,-0.185891761939141
44.599998,259500,0.770001000000001,3,-0.480004000000001,48.76991396785,45.2812066608553,4,19,-1,'2006-04-19',-0.02646,-0.06951,-0.06682,-0.160538101369422
44.560001,522900,0.859997,4,-0.039997,48.5205053266386,45.2371178883269,4,20,-1,'2006-04-20',-0.04421,-0.07585,-0.09448,-0.173922796815018
44.240002,204600,0.739998,5,-0.319999000000003,46.4728145733175,45.1273403994309,4,21,-1,'2006-04-21',-0.04204,-0.04272,-0.09765,-0.204113982634992
43.700001,908400,0.520001000000001,1,-0.540000999999997,43.1624504047849,44.8500027087368,4,24,-1,'2006-04-24',-0.04165,-0.04508,-0.09428,-0.216247157522948
42.619999,720100,0.880001,2,-1.080002,37.4211690914557,44.5533386264493,4,25,-1,'2006-04-25',-0.02745,-0.03121,-0.08869,-0.202487029621939
